0.42	0.0157238	0.780814	-1.58879	0.335732	1.60451	0.445083	0.0216058	0.798432	-1.66252	0.296009	1.68413	0.502424
0.43	-0.0410107	0.790037	-1.57522	0.342809	1.53421	0.447228	-0.0370725	0.810537	-1.65087	0.299846	1.6138	0.510691
0.44	-0.0975873	0.798273	-1.55002	0.359413	1.45243	0.43886	-0.0956809	0.821724	-1.62599	0.315405	1.53031	0.506319
0.45	-0.153939	0.80541	-1.51382	0.38468	1.35988	0.420729	-0.15415	0.831851	-1.58853	0.342015	1.43438	0.489836
0.46	-0.209999	0.811344	-1.46746	0.417397	1.25746	0.393947	-0.212412	0.840779	-1.53948	0.378528	1.32707	0.462252
0.47	-0.265705	0.815976	-1.41184	0.45608	1.14613	0.359896	-0.270401	0.848374	-1.47996	0.4234	1.20956	0.424974
0.48	-0.320993	0.819219	-1.34785	0.499073	1.02686	0.320146	-0.328054	0.854506	-1.41112	0.474789	1.08307	0.379717
0.49	-0.375803	0.820992	-1.27633	0.544639	0.900526	0.276353	-0.385309	0.859056	-1.33404	0.530661	0.948734	0.328394
0.5	-0.430075	0.821229	-1.19806	0.591049	0.767982	0.23018	-0.442107	0.861911	-1.24971	0.588898	0.807601	0.273013
0.51	-0.48375	0.819874	-1.11374	0.636663	0.629992	0.183212	-0.498389	0.862974	-1.15899	0.647392	0.660603	0.215582
0.52	-0.53677	0.816888	-1.02403	0.679992	0.487262	0.136896	-0.554098	0.862158	-1.06267	0.704139	0.508571	0.15802
0.53	-0.589077	0.812244	-0.929522	0.719751	0.340445	0.092493	-0.609178	0.859395	-0.961434	0.757307	0.352257	0.102088
0.54	-0.640615	0.805935	-0.830772	0.754889	0.190157	0.0510462	-0.663573	0.854632	-0.855916	0.805298	0.192343	0.0493337
0.55	-0.691325	0.797967	-0.728312	0.784603	0.0369867	0.0133642	-0.717229	0.847833	-0.746692	0.846781	0.0294628	0.00105181
0.56	-0.741152	0.788366	-0.622655	0.808345	0.118497	0.0199789	-0.770092	0.838986	-0.634303	0.880723	0.135789	0.0417375
0.57	-0.790037	0.777175	-0.514304	0.825808	0.275733	0.0486333	-0.822106	0.828096	-0.519264	0.906393	0.302843	0.0782971
0.58	-0.837922	0.764455	-0.403761	0.836908	0.434161	0.0724533	-0.873217	0.815192	-0.402076	0.92336	0.471141	0.108168
0.59	-0.884748	0.750286	-0.291532	0.841755	0.593217	0.0914699	-0.923369	0.800327	-0.283236	0.931482	0.640133	0.131155
0.6	-0.930455	0.734762	-0.17813	0.840623	0.752325	0.105861	-0.972505	0.783574	-0.163238	0.930878	0.809267	0.147304
0.61	-0.974979	0.717999	-0.0640815	0.833917	0.910898	0.115918	-1.02057	0.765031	-0.0425861	0.921908	0.97798	0.156876
0.62	-1.01826	0.700126	0.0500719	0.822144	1.06833	0.122018	-1.06749	0.744819	0.0782054	0.905136	1.1457	0.160317
0.63	-1.06023	0.681287	0.163775	0.805883	1.224	0.124597	-1.11322	0.723081	0.198604	0.881306	1.31183	0.158225
