1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	1	0.999987	0.999816	0.999097	0.997088	0.993225	0.98683	0.977785	0.964877	0.961352	0.957374	0.954177	0.949768	0.945644	0.94151	0.936625	0.932124	0.927338	0.922058	0.916886	0.912303	0.907171	0.901083	0.879264	0.855513	0.831624	0.807672	
3	1	0.999986	0.999726	0.998715	0.995757	0.990033	0.979743	0.964655	0.943631	0.936443	0.930116	0.923934	0.915489	0.908855	0.901111	0.89142	0.88447	0.875773	0.865754	0.856252	0.847187	0.837316	0.826542	0.786036	0.742336	0.698308	0.653947	
4	1	0.999973	0.999702	0.998511	0.995203	0.988352	0.975845	0.956675	0.928986	0.919105	0.911311	0.902472	0.891554	0.881836	0.870585	0.858405	0.847879	0.834088	0.821888	0.80765	0.795535	0.781798	0.767347	0.708885	0.648929	0.591233	0.533838	
5	1	0.999976	0.99971	0.998463	0.994963	0.987472	0.9737	0.95135	0.918504	0.907324	0.897694	0.88623	0.873281	0.860491	0.847225	0.831603	0.817506	0.800714	0.78575	0.767852	0.752177	0.73447	0.717074	0.64445	0.570973	0.501979	0.436151	
6	1	0.999976	0.999714	0.998419	0.994802	0.987071	0.972275	0.948288	0.911118	0.898294	0.887034	0.874065	0.858999	0.843739	0.828074	0.808266	0.79138	0.772717	0.75488	0.735374	0.714938	0.69327	0.672588	0.58909	0.505563	0.427422	0.357282	
7	1	0.999978	0.999682	0.998435	0.994913	0.986919	0.971583	0.945878	0.905022	0.891231	0.878265	0.863549	0.846512	0.829979	0.810892	0.789811	0.769894	0.748735	0.726799	0.705445	0.681604	0.657415	0.632907	0.539067	0.447211	0.364418	0.292896	
8	1	0.999981	0.999714	0.998448	0.99493	0.986638	0.970583	0.944279	0.90023	0.886364	0.871664	0.855058	0.836866	0.817855	0.796211	0.772871	0.751941	0.727757	0.703469	0.679008	0.652089	0.627195	0.598479	0.495028	0.396748	0.310563	0.239825	
9	1	0.999977	0.99971	0.998413	0.994881	0.986511	0.97053	0.942711	0.896505	0.88215	0.864829	0.848485	0.8274	0.806753	0.784416	0.75794	0.734272	0.709131	0.682287	0.654104	0.625551	0.598149	0.567202	0.455509	0.35277	0.265022	0.196427	
10	1	0.999982	0.999698	0.998457	0.994788	0.986686	0.970511	0.941699	0.893523	0.878611	0.859597	0.841788	0.819569	0.798423	0.773186	0.744271	0.718521	0.69181	0.662804	0.631911	0.60068	0.570605	0.538122	0.420421	0.314771	0.227553	0.162181	
11	1	0.999979	0.999742	0.998562	0.994753	0.986681	0.970297	0.941447	0.891225	0.87523	0.855539	0.836564	0.812352	0.789896	0.763671	0.732621	0.7049	0.675875	0.645012	0.610934	0.578498	0.544767	0.511208	0.387215	0.279937	0.195912	0.134686	
12	1	0.999982	0.999758	0.998506	0.99472	0.986656	0.970202	0.940669	0.889229	0.872538	0.851125	0.831889	0.805977	0.781842	0.754232	0.72217	0.692253	0.660742	0.628377	0.59242	0.557416	0.521113	0.486581	0.356824	0.250219	0.169133	0.11378	
13	1	0.999979	0.999742	0.998476	0.994648	0.986402	0.969926	0.940741	0.886714	0.869848	0.847411	0.827355	0.800519	0.774379	0.746589	0.712225	0.679541	0.646347	0.612191	0.574002	0.536573	0.499145	0.462133	0.327827	0.225126	0.145662	0.0983125	
14	1	0.999971	0.999721	0.998435	0.994714	0.986236	0.970206	0.940194	0.88527	0.867195	0.844392	0.823209	0.795631	0.768499	0.738619	0.702508	0.669244	0.633305	0.596319	0.557623	0.519162	0.479119	0.441365	0.302715	0.200425	0.127014	0.0874932	
15	1	0.999985	0.999708	0.998423	0.994845	0.986477	0.970077	0.940116	0.884298	0.86578	0.842497	0.819163	0.791087	0.762558	0.730955	0.694137	0.658228	0.619274	0.582071	0.539948	0.501269	0.459922	0.419831	0.280271	0.179655	0.111861	0.0791963	
16	1	0.999978	0.999715	0.998422	0.994792	0.986544	0.969825	0.939897	0.8837	0.863555	0.839743	0.815922	0.786525	0.757294	0.724735	0.686084	0.649321	0.60771	0.567559	0.525138	0.483937	0.441256	0.400396	0.259155	0.161781	0.100051	0.0718877	
17	1	0.999978	0.999678	0.998479	0.994828	0.986625	0.969672	0.939807	0.883141	0.861601	0.837167	0.811903	0.783106	0.751051	0.717607	0.678038	0.639363	0.596839	0.554851	0.511705	0.467977	0.424705	0.381686	0.241101	0.145263	0.090543	0.0673193	
18	0.999999	0.99997	0.999701	0.998447	0.994693	0.986412	0.969816	0.940007	0.881705	0.86007	0.835357	0.809436	0.779726	0.745546	0.711975	0.669231	0.62973	0.585348	0.54103	0.497681	0.45398	0.408254	0.364795	0.22539	0.132032	0.0842207	0.0643906	
19	1	0.999973	0.999712	0.998467	0.994638	0.98643	0.969865	0.94002	0.880882	0.859228	0.833596	0.806967	0.776042	0.741746	0.705761	0.661647	0.619844	0.574559	0.527481	0.484781	0.439537	0.39182	0.349681	0.208945	0.120828	0.0784766	0.0636328	
20	0.999998	0.999978	0.999726	0.998527	0.994621	0.986433	0.970271	0.939552	0.879748	0.858519	0.831726	0.803687	0.772798	0.736779	0.699976	0.654021	0.612338	0.56527	0.516774	0.4705	0.42425	0.376425	0.333128	0.1937	0.11054	0.0765674	0.0625693	
21	0.999999	0.999984	0.999717	0.998481	0.994729	0.986404	0.970316	0.939313	0.878554	0.857287	0.830013	0.8018	0.769162	0.732907	0.694875	0.646708	0.603618	0.55567	0.505132	0.458416	0.410572	0.361283	0.318198	0.179478	0.103805	0.0747646	0.0611025	
