2.1	-nan	0.00434791	inf
2.11	-nan	0.00442888	-nan
2.12	-nan	0.00415407	-nan
2.13	-nan	0.00422523	-nan
2.14	-nan	0.00416634	-nan
2.15	-nan	0.00403875	-nan
2.16	-nan	0.00417615	-nan
2.17	-nan	0.00375903	-nan
2.18	-nan	0.00421541	-nan
2.19	-nan	0.00409028	-nan
2.2	-nan	0.00388171	-nan
2.21	-nan	0.00389644	-nan
2.22	-nan	0.00383019	-nan
2.23	-nan	0.00382283	-nan
2.24	-nan	0.00238497	-nan
2.25	-nan	0.00343514	-nan
2.26	-nan	0.00385227	-nan
2.27	-nan	0.00371486	-nan
2.28	-nan	0.00316033	-nan
2.29	-nan	0.000169304	-nan
2.3	-nan	0.0028021	-nan
2.31	-nan	0.00335417	-nan
2.32	-nan	0.00304256	-nan
2.33	-nan	0.00182063	-nan
2.34	-nan	0.000790083	-nan
2.35	-nan	0.000316524	-nan
2.36	-nan	0.000763093	-nan
2.37	-nan	0.000493189	-nan
2.38	-nan	0.000522633	-nan
2.39	-nan	0.000201201	-nan
2.4	-nan	0.000706658	-nan
2.41	-nan	0.000269904	-nan
2.42	-nan	0.00249539	-nan
2.43	-nan	0.00160961	-nan
2.44	-nan	0.000672307	-nan
2.45	-nan	0.000988831	-nan
2.46	-nan	0.000103054	-nan
2.47	-nan	0.000269904	-nan
2.48	-nan	0.000390134	-nan
2.49	-nan	0.000696844	-nan
