2.1	0.994865	0.867716	415805
2.11	0.994594	0.861879	412066
2.12	0.994146	0.855994	408338
2.13	0.992181	0.849383	404938
2.14	0.993581	0.846725	403101
2.15	0.991183	0.836607	396321
2.16	0.990425	0.828107	390069
2.17	0.985403	0.814098	381094
2.18	0.984109	0.807703	378084
2.19	0.982663	0.798371	370711
2.2	0.979615	0.787624	363965
2.21	0.975457	0.771395	352049
2.22	0.968862	0.757953	345320
2.23	0.957475	0.734633	332075
2.24	0.949838	0.718565	323186
2.25	0.943227	0.702122	312177
2.26	0.927797	0.674373	295987
2.27	0.924248	0.660542	286337
2.28	0.864766	0.59541	254301
2.29	0.874694	0.595456	250939
2.3	0.835514	0.55348	228280
2.31	0.836654	0.546016	221327
2.32	0.811694	0.522631	209656
2.33	0.749755	0.472252	183639
2.34	0.713936	0.443946	168674
2.35	0.653845	0.406907	149080
2.36	0.65772	0.403691	147306
2.37	0.559492	0.355845	123081
2.38	0.573595	0.358161	123662
2.39	0.558505	0.339392	111678
2.4	0.494946	0.315028	100063
2.41	0.452396	0.29189	88243.1
2.42	0.44029	0.288097	86580.1
2.43	0.439532	0.274413	78373
2.44	0.38418	0.262099	74096.5
2.45	0.332251	0.24026	63793
2.46	0.338766	0.240112	63963.4
2.47	0.310248	0.227403	57306.2
2.48	0.290804	0.216753	52769.8
2.49	0.235008	0.205785	48559.1
