2.1	0.998762	0.868583	6.63802e+06
2.11	0.998552	0.862736	6.57851e+06
2.12	0.998416	0.857147	6.52198e+06
2.13	0.998015	0.850301	6.44781e+06
2.14	0.997952	0.843751	6.37524e+06
2.15	0.997285	0.835916	6.28747e+06
2.16	0.996765	0.827713	6.19244e+06
2.17	0.996575	0.819054	6.08856e+06
2.18	0.995363	0.807913	5.95512e+06
2.19	0.993954	0.79587	5.8098e+06
2.2	0.991196	0.780754	5.63004e+06
2.21	0.989435	0.767735	5.47527e+06
2.22	0.989984	0.760369	5.38627e+06
2.23	0.985987	0.73916	5.13105e+06
2.24	0.976119	0.711208	4.83492e+06
2.25	0.9599	0.678825	4.5236e+06
2.26	0.929298	0.626626	4.07989e+06
2.27	0.91747	0.602257	3.8792e+06
2.28	0.879514	0.550123	3.36962e+06
2.29	0.792542	0.471532	2.80202e+06
2.3	0.790638	0.459242	2.6138e+06
2.31	0.639022	0.373282	2.00949e+06
2.32	0.598667	0.33762	1.69254e+06
2.33	0.635886	0.334094	1.60426e+06
2.34	0.458207	0.273327	1.23929e+06
2.35	0.425917	0.240793	977782
2.36	0.430373	0.223849	821086
2.37	0.252328	0.19272	662332
2.38	0.220782	0.174713	556089
2.39	0.200658	0.165079	493016
2.4	0.245946	0.168144	497827
2.41	0.135111	0.148154	414718
2.42	0.134192	0.148694	415663
2.43	0.08266	0.123964	291882
2.44	0.032757	0.119796	279728
2.45	0.0516337	0.120262	281345
2.46	0.0973342	0.117039	261416
2.47	0.111085	0.111993	238114
2.48	0.0911166	0.101287	196077
2.49	0.0590813	0.104185	209534
